,sura_num,sura_name,sura_hisab,sura_ayat
0,1,بسم الله الرحمن الرحيم,10143,786
1,1,الحمد لله رب العلمين,10143,581
2,1,الرحمن الرحيم,10143,618
3,1,ملك يوم الدين,10143,241
4,1,إياك نعبد وإياك نستعين,10143,836
5,1,اهدنا الصرط المستقيم,10143,1072
6,1,صرط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,10143,6009
0,2,الم,1819687,71
1,2,ذلك الكتب لا ريب فيه هدى للمتقين,1819687,2211
2,2,الذين يؤمنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,1819687,3161
3,2,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالءاخرة هم يوقنون,1819687,2634
4,2,أولئك على هدى من ربهم وأولئك هم المفلحون,1819687,860
5,2,إن الذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,1819687,4460
6,2,ختم الله على قلوبهم وعلى سمعهم وعلى أبصرهم غشوة ولهم عذاب عظيم,1819687,5342
7,2,ومن الناس من يقول ءامنا بالله وباليوم الءاخر وما هم بمؤمنين,1819687,1845
8,2,يخدعون الله والذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون,1819687,3439
9,2,فى قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,1819687,4392
10,2,وإذا قيل لهم لا تفسدوا فى الأرض قالوا إنما نحن مصلحون,1819687,3180
11,2,ألا إنهم هم المفسدون ولكن لا يشعرون,1819687,1217
12,2,وإذا قيل لهم ءامنوا كما ءامن الناس قالوا أنؤمن كما ءامن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,1819687,2616
13,2,وإذا لقوا الذين ءامنوا قالوا ءامنا وإذا خلوا إلى شيطينهم قالوا إنا معكم إنما نحن مستهزءون,1819687,4893
14,2,الله يستهزئ بهم ويمدهم فى طغينهم يعمهون,1819687,2077
15,2,أولئك الذين اشتروا الضللة بالهدى فما ربحت تجرتهم وما كانوا مهتدين,1819687,5109
16,2,مثلهم كمثل الذى استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم فى ظلمت لا يبصرون,1819687,7790
17,2,صم بكم عمى فهم لا يرجعون,1819687,798
18,2,أو كصيب من السماء فيه ظلمت ورعد وبرق يجعلون أصبعهم فى ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين,1819687,5963
19,2,يكاد البرق يخطف أبصرهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصرهم إن الله على كل شىء قدير,1819687,7387
20,2,يأيها الناس اعبدوا ربكم الذى خلقكم والذين من قبلكم لعلكم تتقون,1819687,4262
21,2,الذى جعل لكم الأرض فرشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرت رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,1819687,7476
22,2,وإن كنتم فى ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صدقين,1819687,4222
23,2,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التى وقودها الناس والحجارة أعدت للكفرين,1819687,4176
24,2,وبشر الذين ءامنوا وعملوا الصلحت أن لهم جنت تجرى من تحتها الأنهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذى رزقنا من قبل وأتوا به متشبها ولهم فيها أزوج مطهرة وهم فيها خلدون,1819687,10742
25,2,إن الله لا يستحى أن يضرب مثلا ما بعوضة فما فوقها فأما الذين ءامنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدى به كثيرا وما يضل به إلا الفسقين,1819687,12647
26,2,الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما أمر الله به أن يوصل ويفسدون فى الأرض أولئك هم الخسرون,1819687,5945
27,2,كيف تكفرون بالله وكنتم أموتا فأحيكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,1819687,5070
28,2,هو الذى خلق لكم ما فى الأرض جميعا ثم استوى إلى السماء فسوىهن سبع سموت وهو بكل شىء عليم,1819687,5373
